       0.638214        0.305963       -0.019231
       0.244738       -0.093894       -0.081207
       0.667463        0.057905        0.243001
      -0.600712       -0.461117       -0.065752
       0.838674       -0.168493       -0.191175
      -0.182996        0.264811        0.499597
      -0.247294        0.700424        0.202147
       0.141838        0.189458       -0.023534
      -0.871383       -0.742240        0.428520
       0.225749        0.027092        0.052426
       0.463718       -0.029344        0.158601
       0.426291       -0.193922       -0.205557
